"champ";"statut";"annee";"periode";"date du resultat";"ipe";patient_cmu;COUNT;PERCENT;count1;percent1;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/17 14:56:46";="800000093";Non;249;98.418972332;5933;98.033707865;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:46";="800000093";Oui;4;1.581027668;119;1.9662921348;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/26 09:22:25";="600100713";Non;436;99.771167048;10390;99.865436371;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:25";="600100713";Oui;1;0.2288329519;14;0.1345636294;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 11:34:01";="800000523";Non;1467;98.655010087;94906;99.076113622;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:01";="800000523";Oui;20;1.3449899126;885;0.9238863776;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 14:46:07";="800000036";Non;171;98.843930636;5251;99.715153817;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:07";="800000036";Oui;2;1.1560693642;15;0.2848461831;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/27 07:44:03";="800000077";Non;106;97.247706422;3900;98.934550989;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:03";="800000077";Oui;3;2.752293578;42;1.0654490107;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 16:29:31";="800000069";Non renseigné;257;94.139194139;9582;93.455573978;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:31";="800000069";Oui;16;5.8608058608;671;6.5444260217;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:30";="590782652";Non;886;99.105145414;16474;97.329552168;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:30";="590782652";Oui;8;0.8948545861;452;2.6704478317;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/31 11:17:15";="020000022";Non;228;91.2;10333;97.646947647;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:15";="020000022";Oui;22;8.8;249;2.3530523531;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/02/01 15:50:00";="800000085";Non;191;98.96373057;6926;98.56268678;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/01 15:50:00";="800000085";Oui;2;1.0362694301;101;1.4373132204;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/02 14:56:19";="590048476";Non;1193;98.676592225;18302;97.543036828;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:19";="590048476";Oui;16;1.323407775;461;2.4569631722;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 15:56:46";="800000028";Non;271;97.482014388;8654;96.230401423;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/02 15:56:46";="800000028";Oui;7;2.5179856115;339;3.7695985767;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/06 14:15:06";="590780193";Non renseigné;2363;87.90922619;20015;86.041612931;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:06";="590780193";Oui;325;12.09077381;3247;13.958387069;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/13 16:00:50";="600100721";Non renseigné;304;98.381877023;7522;98.6103828;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:00:50";="600100721";Oui;5;1.6181229773;106;1.3896171998;2022.12;X600100721;13FEB23;16:00:35
