"champ";"statut";"annee";"periode";"date du resultat";"ipe";finess_smur;nb_sortie_primaire;nb_sortie_secondaire;nb_tiih;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/14 10:05:13";="620103440";620000653;891;54;147;2023.7;X620103440;14AUG23;10:05:12
"mco";"dgf";"2023";"7";"2023/08/21 16:15:48";="590780193";590796975;3123;2904;0;2023.7;X590780193;21AUG23;16:15:47
"mco";"dgf";"2023";"7";"2023/08/22 09:37:40";="620100057";620000034;2061;1420;111;2023.7;X620100057;22AUG23;9:37:39
"mco";"dgf";"2023";"7";"2023/08/24 11:27:27";="590781415";590000337;1356;150;34;2023.7;X590781415;24AUG23;11:27:25
"mco";"dgf";"2023";"7";"2023/08/24 12:32:31";="020000253";020000394;470;339;17;2023.7;X020000253;24AUG23;12:32:30
"mco";"dgf";"2023";"7";"2023/08/25 11:35:18";="020000287";020000535;288;5;0;2023.7;X020000287;25AUG23;11:35:17
"mco";"dgf";"2023";"7";"2023/08/25 12:18:38";="620101337";620000323;941;62;2;2023.7;X620101337;25AUG23;12:18:35
"mco";"dgf";"2023";"7";"2023/08/28 12:45:50";="600100713";600000194;1165;134;337;2023.7;X600100713;28AUG23;12:45:49
"mco";"dgf";"2023";"7";"2023/08/28 12:46:12";="600100648";600000186;680;56;0;2023.7;X600100648;28AUG23;12:46:11
"mco";"dgf";"2023";"7";"2023/08/28 12:51:02";="590782421";590801106;810;44;0;2023.7;X590782421;28AUG23;12:51:00
"mco";"dgf";"2023";"7";"2023/08/28 14:07:19";="020000063";020000162;555;100;207;2023.7;X020000063;28AUG23;14:07:17
"mco";"dgf";"2023";"7";"2023/08/28 14:07:19";="020000063";020016366;155;0;0;2023.7;X020000063;28AUG23;14:07:17
"mco";"dgf";"2023";"7";"2023/08/28 15:40:22";="020004495";020001087;220;0;0;2023.7;X020004495;28AUG23;15:40:20
"mco";"dgf";"2023";"7";"2023/08/29 10:47:27";="600101984";600000467;946;91;122;2023.7;X600101984;29AUG23;10:47:25
"mco";"dgf";"2023";"7";"2023/08/29 11:59:06";="020000261";020000519;405;1;0;2023.7;X020000261;29AUG23;11:59:05
"mco";"dgf";"2023";"7";"2023/08/29 16:15:34";="620100651";620000224;1316;47;175;2023.7;X620100651;29AUG23;16:15:32
"mco";"dgf";"2023";"7";"2023/08/30 14:07:25";="620101360";620000349;727;53;0;2023.7;X620101360;30AUG23;14:07:24
"mco";"dgf";"2023";"7";"2023/08/30 14:50:27";="590781662";590000469;246;10;0;2023.7;X590781662;30AUG23;14:50:25
"mco";"dgf";"2023";"7";"2023/08/30 17:56:37";="620100685";620000257;1922;39;457;2023.7;X620100685;30AUG23;17:56:35
"mco";"dgf";"2023";"7";"2023/08/31 11:15:52";="800000085";800000390;485;0;0;2023.7;X800000085;31AUG23;11:15:51
"mco";"dgf";"2023";"7";"2023/08/31 12:28:59";="020004404";020001061;317;109;0;2023.7;X020004404;31AUG23;12:28:58
"mco";"dgf";"2023";"7";"2023/08/31 15:03:45";="800000093";800000432;487;0;0;2023.7;X800000093;31AUG23;15:03:44
"mco";"dgf";"2023";"7";"2023/08/31 16:02:08";="590783239";590001004;1012;46;0;2023.7;X590783239;31AUG23;16:02:07
"mco";"dgf";"2023";"7";"2023/08/31 16:19:51";="590781605";590000428;797;49;0;2023.7;X590781605;31AUG23;16:19:49
"mco";"dgf";"2023";"7";"2023/08/31 18:55:30";="800000069";800000226;371;0;0;2023.7;X800000069;31AUG23;18:55:28
"mco";"dgf";"2023";"7";"2023/09/01 09:13:35";="600100721";600000285;222;55;0;2023.7;X600100721;01SEP23;9:13:33
"mco";"dgf";"2023";"7";"2023/09/01 09:13:35";="600100721";600113476;872;231;0;2023.7;X600100721;01SEP23;9:13:33
"mco";"dgf";"2023";"7";"2023/09/01 09:38:36";="590782637";590000758;760;46;0;2023.7;X590782637;01SEP23;9:38:34
"mco";"dgf";"2023";"7";"2023/09/01 11:45:47";="800000028";800000143;982;71;20;2023.7;X800000028;01SEP23;11:45:45
"mco";"dgf";"2023";"7";"2023/09/04 15:54:42";="620103432";620003202;769;30;0;2023.7;X620103432;04SEP23;15:54:41
"mco";"dgf";"2023";"7";"2023/09/05 13:35:23";="590781803";590000535;923;148;0;2023.7;X590781803;05SEP23;13:35:21
"mco";"dgf";"2023";"7";"2023/09/05 17:27:20";="590782215";590000618;1824;446;0;2023.7;X590782215;05SEP23;17:27:19
"mco";"dgf";"2023";"7";"2023/09/06 11:51:48";="590781902";590804696;955;28;0;2023.7;X590781902;06SEP23;11:51:47
